"container","dest","src","local_size","remote_size","result","run_at"
"pbcc-pmtiles","zones_transport_20260811.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/transport/zones_transport_20260811.pmtiles",72218690,72218690,"uploaded","2026-08-12 16:31:00"
"pbcc-pmtiles","buildings_transport_20260811.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/transport/buildings_transport_20260811.pmtiles",2039793407,2039793407,"uploaded","2026-08-12 16:31:00"
"pbcc-pmtiles","zones_pbcc_20260811.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/pbcc/zones_pbcc_20260811.pmtiles",59205237,59205237,"uploaded","2026-08-12 16:31:00"
"pbcc-pmtiles","buildings_pbcc_20260811.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/pbcc/buildings_pbcc_20260811.pmtiles",2181443584,2181443584,"uploaded","2026-08-12 16:31:00"
"pbcc-pmtiles","zones_retrofit_20260808.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/retrofit/zones_retrofit_20260808.pmtiles",78323164,78323164,"uploaded","2026-08-12 16:31:00"
"pbcc-pmtiles","buildings_retrofit_20260808.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/retrofit/buildings_retrofit_20260808.pmtiles",2130539111,2130539111,"uploaded","2026-08-12 16:31:00"
"pbcc-pmtiles","epc_dom_20260728.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/epc_dom_20260728.pmtiles",1858444215,1858444215,"uploaded","2026-08-12 16:31:00"
"pbcc-pmtiles","epc_nondom_20260728.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/epc_nondom_20260728.pmtiles",112358119,112358119,"uploaded","2026-08-12 16:31:00"
"pbcc-pmtiles","uprn_unknown_20260728.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/uprn_unknown_20260728.pmtiles",329721474,329721474,"uploaded","2026-08-12 16:31:00"
"pbcc-pmtiles","postcodes_20260809.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/postcodes_20260809.pmtiles",692047089,692047089,"uploaded","2026-08-12 16:31:00"
"pbcc-pmtiles","wards_20260728.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/wards_20260728.pmtiles",14202365,14202365,"uploaded","2026-08-12 16:31:00"
"pbcc-pmtiles","parish_20260728.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/parish_20260728.pmtiles",13635250,13635250,"uploaded","2026-08-12 16:31:00"
"pbcc-pmtiles","westminster_20260728.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/westminster_20260728.pmtiles",6302036,6302036,"uploaded","2026-08-12 16:31:00"
"pbcc-pmtiles","GBsolar.pmtiles","F:/DTM_DSM/large_rasters/Solar/GBsolar.pmtiles",6237077935,6237077935,"uploaded","2026-08-12 16:31:00"
"pbcc-pmtiles","inspire_20260811.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/LandOwnership/output/inspire_pmtiles/inspire_20260811.pmtiles",4324631849,4324631849,"uploaded","2026-08-12 16:31:00"
"pbcc-pmtiles","landowners_20260811.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/LandOwnership/output/landowner_pmtiles/landowners_20260811.pmtiles",532186762,532186762,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_access_2026-08-08.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_access_2026-08-08.json.gz",470416,470416,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_access_2026-08-08.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_access_2026-08-08.bin",262144211,262144211,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_community_pics_2026-08-08.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_community_pics_2026-08-08.json.gz",472947,472947,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_community_pics_2026-08-08.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_community_pics_2026-08-08.bin",9231477,9231477,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_epc_dom_2026-08-08.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_epc_dom_2026-08-08.json.gz",471403,471403,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_epc_dom_2026-08-08.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_epc_dom_2026-08-08.bin",38488586,38488586,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_historical_domestic_gas_elec_2026-08-08.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_historical_domestic_gas_elec_2026-08-08.json.gz",471994,471994,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_historical_domestic_gas_elec_2026-08-08.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_historical_domestic_gas_elec_2026-08-08.bin",34407549,34407549,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_historical_emission_2026-08-08.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_historical_emission_2026-08-08.json.gz",508580,508580,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_historical_emission_2026-08-08.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_historical_emission_2026-08-08.bin",106105106,106105106,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_population_2026-08-08.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_population_2026-08-08.json.gz",471134,471134,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_population_2026-08-08.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_population_2026-08-08.bin",22785269,22785269,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_pt_frequency_2026-08-10.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_pt_frequency_2026-08-10.json.gz",513081,513081,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_pt_frequency_2026-08-10.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_pt_frequency_2026-08-10.bin",34829489,34829489,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_vehicle_summary_2026-08-08.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_vehicle_summary_2026-08-08.json.gz",493502,493502,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_vehicle_summary_2026-08-08.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_vehicle_summary_2026-08-08.bin",27309866,27309866,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_voa_2010_2026-08-11.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_voa_2010_2026-08-11.json.gz",442113,442113,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_voa_2010_2026-08-11.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_voa_2010_2026-08-11.bin",7123058,7123058,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_la_access_2026-08-08.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_la_access_2026-08-08.json.gz",4462,4462,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_la_access_2026-08-08.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_la_access_2026-08-08.bin",2712906,2712906,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_la_epc_dom_2026-08-08.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_la_epc_dom_2026-08-08.json.gz",4291,4291,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_la_epc_dom_2026-08-08.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_la_epc_dom_2026-08-08.bin",369210,369210,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_la_gas_electric_2026-08-08.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_la_gas_electric_2026-08-08.json.gz",4269,4269,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_la_gas_electric_2026-08-08.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_la_gas_electric_2026-08-08.bin",441470,441470,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_la_prices_2026-08-08.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_la_prices_2026-08-08.json.gz",3694,3694,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_la_prices_2026-08-08.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_la_prices_2026-08-08.bin",170562,170562,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_la_pt_frequency_2026-08-10.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_la_pt_frequency_2026-08-10.json.gz",4803,4803,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_la_pt_frequency_2026-08-10.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_la_pt_frequency_2026-08-10.bin",511607,511607,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_la_vehicle_summary_2026-08-08.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_la_vehicle_summary_2026-08-08.json.gz",4607,4607,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_la_vehicle_summary_2026-08-08.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_la_vehicle_summary_2026-08-08.bin",384969,384969,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_ward_access_2026-08-08.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_ward_access_2026-08-08.json.gz",101491,101491,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_ward_access_2026-08-08.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_ward_access_2026-08-08.bin",57567550,57567550,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_ward_epc_dom_2026-08-08.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_ward_epc_dom_2026-08-08.json.gz",88149,88149,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_ward_epc_dom_2026-08-08.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_ward_epc_dom_2026-08-08.bin",7519597,7519597,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_ward_gas_electric_2026-08-08.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_ward_gas_electric_2026-08-08.json.gz",89673,89673,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_ward_gas_electric_2026-08-08.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_ward_gas_electric_2026-08-08.bin",9333821,9333821,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_ward_prices_2026-08-08.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_ward_prices_2026-08-08.json.gz",81098,81098,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_ward_prices_2026-08-08.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_ward_prices_2026-08-08.bin",3832986,3832986,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","index_ward_pt_frequency_2026-08-10.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_ward_pt_frequency_2026-08-10.json.gz",99879,99879,"uploaded","2026-08-12 16:31:00"
"pbcc-jsonbin","data_ward_pt_frequency_2026-08-10.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_ward_pt_frequency_2026-08-10.bin",7944634,7944634,"uploaded","2026-08-12 16:31:00"
