"container","dest","src","local_size","remote_size","result","run_at"
"pbcc-jsonbin","index_constituency_access_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_constituency_access_2026-09-02.json.gz",7731,7731,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_constituency_access_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_constituency_access_2026-09-02.bin",4894348,4894348,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_constituency_community_pics_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_constituency_community_pics_2026-09-02.json.gz",7341,7341,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_constituency_community_pics_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_constituency_community_pics_2026-09-02.bin",138461,138461,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_constituency_epc_dom_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_constituency_epc_dom_2026-09-02.json.gz",7233,7233,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_constituency_epc_dom_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_constituency_epc_dom_2026-09-02.bin",669257,669257,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_constituency_gas_electric_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_constituency_gas_electric_2026-09-02.json.gz",7279,7279,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_constituency_gas_electric_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_constituency_gas_electric_2026-09-02.bin",794342,794342,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_constituency_population_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_constituency_population_2026-09-02.json.gz",7192,7192,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_constituency_population_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_constituency_population_2026-09-02.bin",476601,476601,"uploaded","2026-09-02 23:36:00"
