"container","dest","src","local_size","remote_size","result","run_at"
"pbcc-pmtiles","zones_pbcc_20260829.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/pbcc/zones_pbcc_20260829.pmtiles",59189843,59189843,"uploaded","2026-09-02 13:25:06"
"pbcc-pmtiles","buildings_pbcc_20260829.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/pbcc/buildings_pbcc_20260829.pmtiles",1992091651,1992091651,"uploaded","2026-09-02 13:25:06"
"pbcc-pmtiles","zones_transport_20260828.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/transport/zones_transport_20260828.pmtiles",62750373,62750373,"uploaded","2026-09-02 13:25:06"
"pbcc-pmtiles","buildings_transport_20260828.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/transport/buildings_transport_20260828.pmtiles",1997039158,1997039158,"uploaded","2026-09-02 13:25:06"
"pbcc-pmtiles","zones_retrofit_20260828.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/retrofit/zones_retrofit_20260828.pmtiles",78352162,78352162,"uploaded","2026-09-02 13:25:06"
"pbcc-pmtiles","buildings_retrofit_20260829.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/retrofit/buildings_retrofit_20260829.pmtiles",2130446946,2130446946,"uploaded","2026-09-02 13:25:06"
"pbcc-pmtiles","postcodes_20260825.pmtiles","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/postcodes_20260825.pmtiles",692047089,692047089,"uploaded","2026-09-02 13:25:06"
"pbcc-jsonbin","index_epc_dom_2026-08-25.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_epc_dom_2026-08-25.json.gz",472643,472643,"uploaded","2026-09-02 13:25:06"
"pbcc-jsonbin","data_epc_dom_2026-08-25.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_epc_dom_2026-08-25.bin",38719172,38719172,"uploaded","2026-09-02 13:25:06"
"pbcc-jsonbin","index_historical_emission_2026-08-28.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_historical_emission_2026-08-28.json.gz",508702,508702,"uploaded","2026-09-02 13:25:06"
