"RGN22NM","min_change","max_change","mean_change","median_change","p10_change","p20_change","p30_change","p40_change","p50_change","p60_change","p70_change","p80_change","p90_change"
"East Midlands",-100,397.183759680826,-45.4107664653885,-55.377080313173,-76.8517227219413,-70.70643711348,-65.6830393629165,-61.0872491826399,-55.377080313173,-48.7218059134154,-38.9707864223161,-25.8175431652897,-1.13769871063728
"East of England",-98.9639419154838,722.37539766702,-37.1071258223203,-44.9175716852879,-74.5050038729538,-65.0447324915601,-57.7390286727147,-51.3611900645844,-44.9175716852879,-37.1504755521734,-26.9521161005997,-13.7009766408531,5.85938484754075
"London",-81.5116911364872,1518.02139037433,20.6869931282726,13.6290004266241,-18.0532666066376,-7.97123744972157,-0.456091081613378,6.54386751715204,13.6290004266241,22.2115003271834,32.3205124230789,45.0239095418784,65.5419335901686
"North East",-96.4761848828331,573.549624420649,25.6643828595592,15.2011029191393,-37.4738858195441,-26.4575032801856,-12.7127560024123,1.71344327100106,15.2011029191393,31.8448539949296,50.9547798898106,78.3530013629635,105.423906876951
"North West",-92.4894787957268,1092.75123558484,-26.6798429760462,-36.7752358598406,-66.41283154913,-57.8297247997462,-50.1446480231437,-43.0334037541257,-36.7752358598406,-29.605072629445,-21.0989490526928,-10.0845803513338,16.0318559556787
"Scotland",-97.2159661357284,8815.54054054054,-37.8796316264438,-54.5887735601597,-77.0203718174714,-72.2530221489034,-67.6744843176038,-61.2674983127599,-54.5887735601597,-46.1785297549592,-35.6692908882237,-20.3764584541997,5.30211893252197
"South East",-98.671868514983,19363,-15.9076095099763,-31.3723992967013,-72.0089382478562,-60.5468074061256,-50.0749280538812,-40.5221220381631,-31.3723992967013,-23.1732549275836,-13.2297776844726,-0.763469939671315,23.2608232678919
"South West",-99.8898880528537,1166.09848484848,-40.2099464672633,-50.4496237841806,-78.7137758392858,-70.7197067069393,-64.1089429183857,-57.1834698431903,-50.4496237841806,-42.7832146450189,-32.4258966671959,-17.3170252160671,5.5897616855647
"Wales",-96.1544676038132,953.782051282051,-42.2516172753473,-48.6737477114548,-71.3966389549614,-62.9139361301946,-58.2290812141099,-53.8745310109204,-48.6737477114548,-43.8974111851792,-36.5348766033221,-27.5024371222461,-11.4011237991662
"West Midlands",-97.2237815769329,8259.77564102564,-32.3912475718542,-38.0605139826179,-74.3745154974544,-61.6309385169498,-52.1861519813235,-45.221683549955,-38.0605139826179,-32.2224957203692,-26.184908963114,-18.0734983923982,-4.82423654566255
"Yorkshire and The Humber",-96.6047932330827,316.323529411765,-34.766870343236,-36.4251466400565,-63.5038421424889,-55.7781571410432,-49.7057969464015,-43.5613120058637,-36.4251466400565,-28.9902280130293,-22.13668351202,-15.8904517866118,-6.07272272897663
